,name,rating,address,ave_price,url,tel,crawl_result,lat_lng,place_id
0,Savior Lounge Bar 救世主小酒館,4.6,臺北市萬華區漢口街二段34巷10號,300.0,https://ifoodie.tw/restaurant/5ea996c48c906d139203ece3-Savior-Lounge-Bar-%E6%95%91%E4%B8%96,0223116677,"{'candidates': [{'geometry': {'location': {'lat': 25.0450599, 'lng': 121.5071173}, 'viewport': {'northeast': {'lat': 25.04640092989272, 'lng': 121.5085029298927}, 'southwest': {'lat': 25.04370127010728, 'lng': 121.5058032701073}}}, 'place_id': 'ChIJGRfASgmpQjQRD4tpHWauFLU'}], 'status': 'OK'}","[25.0450599, 121.5071173]",ChIJGRfASgmpQjQRD4tpHWauFLU
1,瑰秘餐酒館,4.5,臺北市信義區基隆路二段149之53號,1500.0,https://ifoodie.tw/restaurant/5ae75b132756dd5d801dab91-%E7%91%B0%E7%A7%98%E9%A4%90%E9%85%92%E9%A4%A8,0227324436,"{'candidates': [{'geometry': {'location': {'lat': 25.026585, 'lng': 121.55531}, 'viewport': {'northeast': {'lat': 25.02797107989272, 'lng': 121.5566203298927}, 'southwest': {'lat': 25.02527142010728, 'lng': 121.5539206701073}}}, 'place_id': 'ChIJXYxpkjSqQjQR0S1038jQuMs'}], 'status': 'OK'}","[25.026585, 121.55531]",ChIJXYxpkjSqQjQR0S1038jQuMs
2,Tiny Beertail Bar,4.8,臺北市中山區合江街133號,230.0,https://ifoodie.tw/restaurant/5fc0b90dd6895d227bf60f69-Tiny-Beertail-Bar,0225080191,"{'candidates': [{'geometry': {'location': {'lat': 25.0610108, 'lng': 121.5393792}, 'viewport': {'northeast': {'lat': 25.06236187989272, 'lng': 121.5406638298927}, 'southwest': {'lat': 25.05966222010728, 'lng': 121.5379641701073}}}, 'place_id': 'ChIJy3yxUeKrQjQRX_ix3k-iQxA'}], 'status': 'OK'}","[25.0610108, 121.5393792]",ChIJy3yxUeKrQjQRX_ix3k-iQxA
3,Restaurant Page 頁小館,4.6,臺北市中山區北安路595巷20弄4號1樓,1500.0,https://ifoodie.tw/restaurant/57740e682756dd5158c80645-Restaurant-Page-%E9%A0%81%E5%B0%8F%E9%A4%A8,0225328003,"{'candidates': [{'geometry': {'location': {'lat': 25.081809, 'lng': 121.5477847}, 'viewport': {'northeast': {'lat': 25.08315672989272, 'lng': 121.5490972798927}, 'southwest': {'lat': 25.08045707010728, 'lng': 121.5463976201073}}}, 'place_id': 'EjYxMDQ5MeWPsOeBo-WPsOWMl-W4guS4reWxseWNgOWMl-Wuiei3rzU5NeW3tzIw5byENOiZnzEiHRobChYKFAoSCR9ZSmYFrEI0EXHICsZypcrtEgEx'}], 'status': 'OK'}","[25.081809, 121.5477847]",EjYxMDQ5MeWPsOeBo-WPsOWMl-W4guS4reWxseWNgOWMl-Wuiei3rzU5NeW3tzIw5byENOiZnzEiHRobChYKFAoSCR9ZSmYFrEI0EXHICsZypcrtEgEx
4,The 58 Bar - 台灣自釀啤酒專賣,4.4,臺北市萬華區開封街二段58號,600.0,https://ifoodie.tw/restaurant/57d057ac2756dd05d485aaa1-The-58-Bar-%E5%8F%B0%E7%81%A3%E8%87%AA%E9%87%80%E5%95%A4%E9%85%92%E5%B0%88%E8%B3%A3,0223888580,"{'candidates': [{'geometry': {'location': {'lat': 25.0464673, 'lng': 121.5072191}, 'viewport': {'northeast': {'lat': 25.04783847989272, 'lng': 121.5085751298927}, 'southwest': {'lat': 25.04513882010727, 'lng': 121.5058754701073}}}, 'place_id': 'ChIJl11jlQ6pQjQR81s9IGhEn3s'}], 'status': 'OK'}","[25.0464673, 121.5072191]",ChIJl11jlQ6pQjQR81s9IGhEn3s
5,K.D Bistro Taipei,4.7,臺北市大安區光復南路346巷21號,1000.0,https://ifoodie.tw/restaurant/5e255ffcd6895d5a1e47c0a2-K.D-Bistro-Taipei,0227754432,"{'candidates': [{'geometry': {'location': {'lat': 25.0383126, 'lng': 121.5567846}, 'viewport': {'northeast': {'lat': 25.03970497989272, 'lng': 121.5581352798928}, 'southwest': {'lat': 25.03700532010728, 'lng': 121.5554356201073}}}, 'place_id': 'ChIJzyELh8irQjQRRMuodATiuMA'}], 'status': 'OK'}","[25.0383126, 121.5567846]",ChIJzyELh8irQjQRRMuodATiuMA
6,法租界 L.C Française 餐酒館,4.4,臺北市大安區敦化南路一段187巷45之2號,1200.0,https://ifoodie.tw/restaurant/5d3a68b62261394b870b7c9e-%E6%B3%95%E7%A7%9F%E7%95%8C-L.C-Fran%C3%A7aise-%E9%A4%90%E9%85%92,0983638156,"{'candidates': [{'geometry': {'location': {'lat': 25.0426116, 'lng': 121.5514322}, 'viewport': {'northeast': {'lat': 25.04395292989272, 'lng': 121.5527819298927}, 'southwest': {'lat': 25.04125327010728, 'lng': 121.5500822701073}}}, 'place_id': 'ChIJR4ZWq8WrQjQRyaOBOluxPUk'}], 'status': 'OK'}","[25.0426116, 121.5514322]",ChIJR4ZWq8WrQjQRyaOBOluxPUk
7,ABV% 加勒比海 精釀啤酒餐廳,4.7,臺北市大安區敦化南路一段233巷61號,800.0,https://ifoodie.tw/restaurant/5762eb672756dd1d469e4b97-ABV-%E5%8A%A0%E5%8B%92%E6%AF%94%E6%B5%B7-%E7%B2%BE%E9%87%80%E5%95%A4%E9%85%92%E9%A4%90%E5%BB%B3,0227216997,"{'candidates': [{'geometry': {'location': {'lat': 25.0404817, 'lng': 121.5524291}, 'viewport': {'northeast': {'lat': 25.04175452989272, 'lng': 121.5537766298928}, 'southwest': {'lat': 25.03905487010728, 'lng': 121.5510769701073}}}, 'place_id': 'ChIJf0B4ksWrQjQRkP-UkGuHRBk'}], 'status': 'OK'}","[25.0404817, 121.5524291]",ChIJf0B4ksWrQjQRkP-UkGuHRBk
8,O Steak 歐牛排 法式餐酒館,4.2,台北市大安區金華街164巷1弄6號,1000.0,https://ifoodie.tw/restaurant/57b89c7a2756dd1a86feda8b-O-Steak-%E6%AD%90%E7%89%9B%E6%8E%92-%E6%B3%95%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8,0223931616,"{'candidates': [{'geometry': {'location': {'lat': 25.0292631, 'lng': 121.5310822}, 'viewport': {'northeast': {'lat': 25.03068832989272, 'lng': 121.5324150798927}, 'southwest': {'lat': 25.02798867010728, 'lng': 121.5297154201073}}}, 'place_id': 'EjIxMDblj7DngaPlj7DljJfluILlpKflronljYDph5Hoj6_ooZcxNjTlt7cx5byENuiZnyIaEhgKFAoSCT2pq_2DqUI0EapT8q_lW8pSEAY'}], 'status': 'OK'}","[25.0292631, 121.5310822]",EjIxMDblj7DngaPlj7DljJfluILlpKflronljYDph5Hoj6_ooZcxNjTlt7cx5byENuiZnyIaEhgKFAoSCT2pq_2DqUI0EapT8q_lW8pSEAY
9,黑熊愛跳舞,4.2,臺北市大安區基隆路二段225號,268.0,https://ifoodie.tw/restaurant/588797f92756dd3ab2f6b904-%E9%BB%91%E7%86%8A%E6%84%9B%E8%B7%B3%E8%88%9E,0287328980,"{'candidates': [{'geometry': {'location': {'lat': 25.0227036, 'lng': 121.5509669}, 'viewport': {'northeast': {'lat': 25.02410117989272, 'lng': 121.5522652798928}, 'southwest': {'lat': 25.02140152010728, 'lng': 121.5495656201073}}}, 'place_id': 'ChIJT9J7oTGqQjQRJoNIJC66U40'}], 'status': 'OK'}","[25.0227036, 121.5509669]",ChIJT9J7oTGqQjQRJoNIJC66U40
10,台韓民國 韓式燒肉店,4.1,臺北市大安區忠孝東路四段170巷6弄7號,500.0,https://ifoodie.tw/restaurant/57ed594b2756dd0d0ef56442-%E5%8F%B0%E9%9F%93%E6%B0%91%E5%9C%8B-%E9%9F%93%E5%BC%8F%E7%87%92%E8%82%89%E5%BA%97,0227115007,"{'candidates': [{'geometry': {'location': {'lat': 25.04114, 'lng': 121.549922}, 'viewport': {'northeast': {'lat': 25.04234387989272, 'lng': 121.5512711798927}, 'southwest': {'lat': 25.03964422010728, 'lng': 121.5485715201073}}}, 'place_id': 'ChIJidQ-aMWrQjQRRuZsI6sJ3Ig'}], 'status': 'OK'}","[25.04114, 121.549922]",ChIJidQ-aMWrQjQRRuZsI6sJ3Ig
11,Mr. BEAN Taipei,4.4,臺北市大安區仁愛路四段445號,1200.0,https://ifoodie.tw/restaurant/5ca372252756dd62daaf41bd-Mr.-BEAN-Taipei,0227766003,"{'candidates': [{'geometry': {'location': {'lat': 25.0380582, 'lng': 121.5571101}, 'viewport': {'northeast': {'lat': 25.03930922989272, 'lng': 121.5584564298927}, 'southwest': {'lat': 25.03660957010728, 'lng': 121.5557567701073}}}, 'place_id': 'ChIJPyg7fcirQjQR-PdV-fPiJxg'}], 'status': 'OK'}","[25.0380582, 121.5571101]",ChIJPyg7fcirQjQR-PdV-fPiJxg
12,誠鮨,4.6,臺北市中山區建國北路二段32號,1800.0,https://ifoodie.tw/restaurant/5a677a9c2756dd60a4223156-%E8%AA%A0%E9%AE%A8,0225066070,"{'candidates': [{'geometry': {'location': {'lat': 25.0532425, 'lng': 121.5364291}, 'viewport': {'northeast': {'lat': 25.05459062989272, 'lng': 121.5378575798927}, 'southwest': {'lat': 25.05189097010728, 'lng': 121.5351579201073}}}, 'place_id': 'ChIJHa42GmCpQjQRRkJH1gCrlz8'}], 'status': 'OK'}","[25.0532425, 121.5364291]",ChIJHa42GmCpQjQRRkJH1gCrlz8
13,阿郎薄皮餃子台式小酒館,4.5,臺北市大安區忠孝東路四段177號2號樓之2,150.0,https://ifoodie.tw/restaurant/5f0485002756dd1ba07ed274-%E9%98%BF%E9%83%8E%E8%96%84%E7%9A%AE%E9%A4%83%E5%AD%90%E5%8F%B0%E5%BC%8F%E5%B0%8F%E9%85%92%E9%A4%A8,0287716686,"{'candidates': [{'geometry': {'location': {'lat': 25.0417234, 'lng': 121.5506259}, 'viewport': {'northeast': {'lat': 25.04298627989272, 'lng': 121.5519718798927}, 'southwest': {'lat': 25.04028662010728, 'lng': 121.5492722201073}}}, 'place_id': 'EjoxMDblj7DngaPlj7DljJfluILlpKflronljYDlv6DlrZ3mnbHot6_lm5vmrrUxNzfomZ_mqJPkuYsyIiMaIQoWChQKEgn1WJkNxatCNBH_dS7PAyv-NxIH5qiT5LmLMg'}], 'status': 'OK'}","[25.0417234, 121.5506259]",EjoxMDblj7DngaPlj7DljJfluILlpKflronljYDlv6DlrZ3mnbHot6_lm5vmrrUxNzfomZ_mqJPkuYsyIiMaIQoWChQKEgn1WJkNxatCNBH_dS7PAyv-NxIH5qiT5LmLMg
14,榕RON Cafe,4.2,臺北市士林區中山北路五段461巷21號,330.0,https://ifoodie.tw/restaurant/559d7abdc03a103ee86c7df8-%E6%A6%95RON-Cafe,0228836883,"{'candidates': [{'geometry': {'location': {'lat': 25.091456, 'lng': 121.527133}, 'viewport': {'northeast': {'lat': 25.09279492989272, 'lng': 121.5284327298927}, 'southwest': {'lat': 25.09009527010728, 'lng': 121.5257330701073}}}, 'place_id': 'ChIJzeba56SuQjQRpwMeqiNiqJA'}], 'status': 'OK'}","[25.091456, 121.527133]",ChIJzeba56SuQjQRpwMeqiNiqJA
15,À Point 艾朋牛排餐酒館,4.5,臺北市信義區忠孝東路五段139號2樓,1500.0,https://ifoodie.tw/restaurant/59456f762756dd524dd08e03-%C3%80-Point-%E8%89%BE%E6%9C%8B%E7%89%9B%E6%8E%92%E9%A4%90%E9%85%92%E9%A4%A8,0227567788,"{'candidates': [{'geometry': {'location': {'lat': 25.0412618, 'lng': 121.5679254}, 'viewport': {'northeast': {'lat': 25.04256772989272, 'lng': 121.5692747298927}, 'southwest': {'lat': 25.03986807010728, 'lng': 121.5665750701073}}}, 'place_id': 'EjQxMTDlj7DngaPlj7DljJfluILkv6HnvqnljYDlv6DlrZ3mnbHot6_kupTmrrUxMznomZ8yIh0aGwoWChQKEgmFzOOGu6tCNBEldiMksDudIhIBMg'}], 'status': 'OK'}","[25.0412618, 121.5679254]",EjQxMTDlj7DngaPlj7DljJfluILkv6HnvqnljYDlv6DlrZ3mnbHot6_kupTmrrUxMznomZ8yIh0aGwoWChQKEgmFzOOGu6tCNBEldiMksDudIhIBMg
16,ONCE Cafe & Bar,4.6,臺北市萬華區西寧南路82巷2號,300.0,https://ifoodie.tw/restaurant/5ca372142756dd62daaf41b7-ONCE-Cafe-%26-Bar,0223316266,"{'candidates': [{'geometry': {'location': {'lat': 25.042325, 'lng': 121.505769}, 'viewport': {'northeast': {'lat': 25.04371942989272, 'lng': 121.5071146798927}, 'southwest': {'lat': 25.04101977010728, 'lng': 121.5044150201073}}}, 'place_id': 'ChIJN0j_rAmpQjQR9nqPCJjPtbw'}], 'status': 'OK'}","[25.042325, 121.505769]",ChIJN0j_rAmpQjQR9nqPCJjPtbw
17,AgustoChef  餐酒館 大安店,4.7,臺北市大安區忠孝東路四段216巷27弄15號1樓,800.0,https://ifoodie.tw/restaurant/5f9027ca8c906d5fa569868c-AgustoChef-%E9%A4%90%E9%85%92%E9%A4%A8-%E5%A4%A7%E5%AE%89%E5%BA%97,0227710075,"{'candidates': [{'geometry': {'location': {'lat': 25.0400263, 'lng': 121.5538803}, 'viewport': {'northeast': {'lat': 25.04128037989272, 'lng': 121.5552279298928}, 'southwest': {'lat': 25.03858072010727, 'lng': 121.5525282701073}}}, 'place_id': 'Ej4xMDblj7DngaPlj7DljJfluILlpKflronljYDlv6DlrZ3mnbHot6_lm5vmrrUyMTblt7cyN-W8hDE16JmfMSIdGhsKFgoUChIJJRbw_MWrQjQRXzt7alM-SIYSATE'}], 'status': 'OK'}","[25.0400263, 121.5538803]",Ej4xMDblj7DngaPlj7DljJfluILlpKflronljYDlv6DlrZ3mnbHot6_lm5vmrrUyMTblt7cyN-W8hDE16JmfMSIdGhsKFgoUChIJJRbw_MWrQjQRXzt7alM-SIYSATE
18,杯盃 PuiBui Cafe & Lounge,4.7,臺北市大安區信義路四段30巷48號,150.0,https://ifoodie.tw/restaurant/5fb28077d6895d036417ea89-%E6%9D%AF%E7%9B%83-PuiBui-Cafe-%26-Lou,0227009082,"{'candidates': [{'geometry': {'location': {'lat': 25.0318483, 'lng': 121.5444911}, 'viewport': {'northeast': {'lat': 25.03319757989273, 'lng': 121.5459070298927}, 'southwest': {'lat': 25.03049792010728, 'lng': 121.5432073701073}}}, 'place_id': 'ChIJ_XCQOdOrQjQRDu3p6ImznEM'}], 'status': 'OK'}","[25.0318483, 121.5444911]",ChIJ_XCQOdOrQjQRDu3p6ImznEM
19,Waiting Bistro,4.5,台北市大安區忠孝東路三段251巷13弄6號1樓,250.0,https://ifoodie.tw/restaurant/5703c9d7699b6e5e09ac4f08-Waiting-Bistro,0928233583,"{'candidates': [{'geometry': {'location': {'lat': 25.0438197, 'lng': 121.5419255}, 'viewport': {'northeast': {'lat': 25.04521067989273, 'lng': 121.5432837298927}, 'southwest': {'lat': 25.04251102010728, 'lng': 121.5405840701073}}}, 'place_id': 'Ej0xMDblj7DngaPlj7DljJfluILlpKflronljYDlv6DlrZ3mnbHot6_kuInmrrUyNTHlt7cxM-W8hDbomZ8xIh0aGwoWChQKEgmLGWyS2atCNBGO0u4B39-1shIBMQ'}], 'status': 'OK'}","[25.0438197, 121.5419255]",Ej0xMDblj7DngaPlj7DljJfluILlpKflronljYDlv6DlrZ3mnbHot6_kuInmrrUyNTHlt7cxM-W8hDbomZ8xIh0aGwoWChQKEgmLGWyS2atCNBGO0u4B39-1shIBMQ
